Title,Artist,ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
16 Candles,Johnny Maestro,3Timk4Wy8wnJDCfq6O7YDW,0.604,0.307,10,-10.832,1,0.0275,0.727,0.0,0.0932,0.604,114.009,174640
16 Candles,The Crests,3Timk4Wy8wnJDCfq6O7YDW,0.604,0.307,10,-10.832,1,0.0275,0.727,0.0,0.0932,0.604,114.009,174640
Please Mr. Postman - Single Version / Mono,The Marvelettes,6jX5mso4x00c1EiNMrTU9U,0.785,0.776,2,-5.259,1,0.0312,0.729,0.0,0.181,0.967,121.505,148040
Stay,Maurice Williams,5IVaPiiBCUgsNp3kWeU5c2,0.489,0.713,8,-9.811,0,0.0644,0.833,0.0,0.308,0.688,123.619,97627
Stay,The Zodiacs,5IVaPiiBCUgsNp3kWeU5c2,0.489,0.713,8,-9.811,0,0.0644,0.833,0.0,0.308,0.688,123.619,97627
Sherry,Frankie Valli & The Four Seasons,7sqK6f8dHVx3Q1GjFrVyGl,0.701,0.471,0,-8.072,1,0.0421,0.647,0.0,0.125,0.69,117.564,152160
Be My Baby,The Ronettes,2G2YzndIA6jeWFPBXhUjh5,0.511,0.769,4,-7.032,1,0.042,0.181,0.0,0.0921,0.818,129.657,160907
I Only Have Eyes for You,The Flamingos,3YdKJzcoMZMacISlpY4QoP,0.552,0.313,5,-12.41,1,0.0296,0.916,0.0017,0.12,0.303,88.554,202773
We Belong Together,Ritchie Valens,7caj6X6NMX3tlhWnu1du6V,0.684,0.247,5,-13.71,1,0.0281,0.872,0.000166,0.113,0.768,106.522,116627
Since I Don't Have You,The Skyliners,1vkbmoEPyp1MxrfWvmV5KD,0.244,0.346,6,-12.604,1,0.0304,0.603,0.000633,0.319,0.61,141.375,160573
I'm Walkin',Fats Domino,2gZlblsff9FKnhSIwB2ZsU,0.65,0.89,9,-8.11,1,0.0553,0.611,0.056,0.0786,0.972,114.513,126667
Let's Have A Party,Wanda Jackson,3QUGcs2wxh0hs1cpQYejSf,0.522,0.901,4,-8.549,1,0.0479,0.535,8.47e-06,0.176,0.916,166.886,131200
The Locomotion,Little Eva,5xzdDMhFYiuUONB0Mha9VS,0.629,0.782,3,-9.595,1,0.0574,0.709,0.0215,0.304,0.736,128.973,139120
Party Doll,Buddy Knox,3SNEFR9U8CCEUN3iZfkVgW,0.664,0.731,11,-7.84,0,0.0779,0.718,5.95e-06,0.216,0.661,90.054,135173
Big Girls Don't Cry,Frankie Valli & The Four Seasons,00meczE1jpLTX0BBzIGrAR,0.764,0.84,2,-5.023,1,0.0672,0.393,8.64e-06,0.0686,0.843,130.276,148013
Save the Last Dance for Me,The Drifters,7quaRdGKICuz3XiF1WRdta,0.6,0.576,4,-7.667,1,0.0309,0.458,0.0,0.123,0.868,142.934,154227
True Love Ways,Buddy Holly,3U8fZq4cuT7nJ1jwztBd94,0.335,0.0849,10,-21.256,1,0.0377,0.787,0.00318,0.0906,0.34,83.848,181533
Lonely Teardrops,Jackie Wilson,6TYR3IVgIwDK6ydc2EPEQq,0.524,0.478,7,-8.894,1,0.118,0.406,0.0,0.74,0.843,137.133,166213
Rama Lama Ding Dong (Original version 1958),The Edsels,3MfO2eMTwf5LLyMqjwGXLl,0.609,0.709,1,-7.056,1,0.0321,0.254,1.05e-05,0.106,0.949,122.465,147720
Heart and Soul,The Cleftones,5XoYj1BbiLSzBjhPoMv09C,0.519,0.396,8,-8.751,1,0.0292,0.681,0.0,0.719,0.942,148.534,113640
Duke of Earl,Gene Chandler,6Hy22YDN9HJMRlJP1LwnJy,0.422,0.28,5,-11.277,1,0.0365,0.824,0.0,0.297,0.496,100.839,147841
Little Star,The Elegants,3c7KT5CN8uYRaK3xThhdYt,0.408,0.397,9,-12.536,1,0.03,0.873,0.0,0.28,0.697,72.615,162773
Come Softly To Me,The Fleetwoods,603N4XGJUTbK760GLCvIIs,0.601,0.095,1,-18.478,1,0.0374,0.93,0.000285,0.116,0.672,122.975,144933
There's A Moon Out Tonight,The Capris,40aBLJfb6hC7GH2UQOHZYG,0.323,0.437,6,-10.658,1,0.0382,0.872,0.0,0.273,0.642,203.491,134707
